总科,Superfamily,Superfamily author,科,Family,Family Author,亚科,Subfamily,Subfamily Author,族,Tribe,Tribe Author,属,Genus,Genus Author,亚属,Subgenus,Author,种,Species,Species Author,synonyms,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,彩灰蝶,Heliophorus epicles,"(Godart, [1824])",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,耀彩灰蝶,Heliophorus gloria,"Huang, 1999",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,古铜彩灰蝶,Heliophorus brahma,"(Moore, [1858])",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,塔彩灰蝶,Heliophorus tamu,"(Kollar, [1844])",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,依彩灰蝶,Heliophorus eventa,"Fruhstorfer, 1918",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,云南彩灰蝶,Heliophorus yunnani,"D'Abrera, 1993",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,烤彩灰蝶,Heliophorus kohimensis,"(Tytler, 1912)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,美丽彩灰蝶,Heliophorus pulcher,"Chou, 1994",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,德彩灰蝶,Heliophorus delacouri,"Eliot, 1963",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",灰蝶亚科,Lycaeninae,"Leach, [1815]",,,,彩灰蝶属,Heliophorus,"Geyer in Hübner, [1832]",,,,,Heliophorus stotzneri,"(Draeseke, 1925) (？)",,
