¼â¹³·Ûµû,Gonepteryx mahaguru,51
¹³·Ûµû,Gonepteryx rhamni,88
Ô²³á¹³·Ûµû,Gonepteryx amintha,75
Ì¨Íå¹³·Ûµû,Gonepteryx taiwana,3
³È·Ûµû,Ixias pyrene,366
±¨Ï²°ß·Ûµû,Delias pasithoe,497
ºìÒ¸°ß·Ûµû,Delias acalis,72
ÓÅÔ½°ß·Ûµû,Delias hyparete,586
²àÌõ°ß·Ûµû,Delias lativitta,1
ÒşÌõ°ß·Ûµû,Delias subnubila,0
»ÆÈ¹°ß·Ûµû,Delias wilemani,0
ÑŞ¸¾°ß·Ûµû,Delias belladonna,78
È÷Çà°ß·Ûµû,Delias sanaca,7
±¶ÁÖ°ß·Ûµû,Delias berinda,13
°Â¹Å°ß·Ûµû,Delias agostina,10
Àö°ß·Ûµû,Delias descombesi,116
°×³á¼â·Ûµû,Appias albina,199
±¦Áá¼â·Ûµû,Appias paulina,246
À×Õğ¼â·Ûµû,Appias indra,68
Àû±È¼â·Ûµû,Appias libythea,394
ÁéÆæ¼â·Ûµû,Appias lyncida,371
À¼¼§¼â·Ûµû,Appias lalage,23
À¼Î÷¼â·Ûµû,Appias lalassis,6
ÁªÃ¼¼â·Ûµû,Appias remedios,0
ºì³á¼â·Ûµû,Appias nero,33
ºì¼ç¾â·Ûµû,Prioneris clemanthe,1
¾â·Ûµû,Prioneris thestylis,121
¾î·Ûµû,Aporia crataegi,496
Ğ¡ŞÁ¾î·Ûµû,Aporia hippia,27
Âí¶¡¾î·Ûµû,Aporia martineti,8
°µÉ«¾î·Ûµû,Aporia bieti,45
¼ıÎÆ¾î·Ûµû,Aporia procris,5
¾âÎÆ¾î·Ûµû,Aporia goutellei,16
»Ò¹ÃÄï¾î·Ûµû,Aporia intercostata,8
ÀÒÉ«¾î·Ûµû,Aporia potanini,4
´ó³á¾î·Ûµû,Aporia largeteaui,42
°Â±¶¾î·Ûµû,Aporia oberthueri,0
ÖĞÑÇ¾î·Ûµû,Aporia leucodice,26
Àû¼ı¾î·Ûµû,Aporia harrietae,2
Èı»Æ¾î·Ûµû,Aporia larraldei,4
â¬ĞÎ¾î·Ûµû,Aporia hastata,0
ºÚ±ß¾î·Ûµû,Aporia acraea,7
ÍêÉÆ¾î·Ûµû,Aporia agathon,56
É­ÏÂ¾î·Ûµû,Aporia morishitai,0
Ñ¾ÎÆ¾î·Ûµû,Aporia delavayi,19
ÆÕÍ¨¾î·Ûµû,Aporia genestieri,8
ÇØÁë¾î·Ûµû,Aporia tsinglingica,11
Î÷´å¾î·Ûµû,Aporia nishimurai,0
¹şÄ¬¾î·Ûµû,Aporia lhamo,0
µÈ¾à¾î·Ûµû,Aporia howarthi,0
¹ê¾®¾î·Ûµû,Aporia kamei,4
»Æ³á¾î·Ûµû,Aporia lemoulti,0
¸ßÀè¹±¾î·Ûµû,Aporia kaolinkonensis,0
ÃÃ·Ûµû,Mesapia peloria,10
ºÚÂöÔ°·Ûµû,Cepora nerissa,379
ÇàÔ°·Ûµû,Cepora nadina,224
»ÆÈ¹Ô°·Ûµû,Cepora judith,0
ÎâÊÏÔ°·Ûµû,Cepora wui,0
Å·ÖŞ·Ûµû,Pieris brassicae,286
²Ë·Ûµû,Pieris rapae,443
°ßÔµ²Ë·Ûµû,Pieris deota,0
¶«·½²Ë·Ûµû,Pieris canidia,471
°µÂö²Ë·Ûµû,Pieris napi,428
ºÚÎÆ·Ûµû,Pieris melete,195
´óÕ¹·Ûµû,Pieris extensa,13
¶Å±´·Ûµû,Pieris dubernardi,2
´óÎÀ·Ûµû,Pieris davidis,4
ÍõÊÏ·Ûµû,Pieris wangi,0
